State,1880 North Lat,1880 West Long,1890 North Lat,1890 West Long,1900 North Lat,1900 West Long,1910 North Lat,1910 West Long,1920 North Lat,1920 West Long,1930 North Lat,1930 West Long,1940 North Lat,1940 West Long,1950 North Lat,1950 West Long,1960 North Lat,1960 West Long,1970 North Lat,1970 West Long,1980 North Lat,1980 West Long,1990 North Lat,1990 West Long,2000 North Lat,2000 West Long,2010 North Lat,2010 West Long,
Maryland,39 09 04,76 41 17,39 09 32,76 41 21,39 09 36,76 42 15,39 10 01,76 42 36,39 11 03 ,76 43 40,39 13 05,76 46 03,39 13 03,76 46 56,39 10 31,76 43 56,39 11 15,76 46 22,39 09 51,76 47 11,39 09 35,76 47 25,39 09 03,76 47 43,39 08 44,76 47 51,39 08 27,76 47 52,
Massachusetts,42 22 30,71 28 15,42 22 30,71 28 10,42 22 19,71 28 08,42 22 23,71 25 08,42 22 18,71 25 45,42 18 41,71 27 06,42 18 38,71 26 60,42 22 02,71 26 09,42 17 48,71 26 05,42 17 26,71 23 40,42 16 45,71 23 04,42 16 29,71 22 41,42 16 19,71 21 49,42 16 20,71 21 48,
Michigan,43 03 29 ,84 38 36,43 15 24,84 43 38,43 21 00,84 46 19,43 19 55,84 45 00,43 06 17,84 24 59,42 54 12,84 13 16,42 53 38,84 11 44,42 51 01,84 05 48,42 48 36,84 02 06,42 48 21,84 02 58,42 50 28,84 06 30,42 51 13,84 08 37,42 51 59,84 10 15,42 52 23,84 12 12,
Minnesota,44 47 33,93 44 41,45 05 42,93 50 36,45 15 29,93 59 24,45 22 23,93 51 29,45 25 26,93 51 01,45 25 44,93 52 58,45 25 50,93 53 13,45 20 24,93 45 59,45 16 36,93 42 24,45 14 12,93 39 01,45 15 16,93 38 56,45 13 18,93 36 31,45 12 39,93 34 59,45 12 13,93 34 19,
Mississippi,33 02 50,89 42 06,35 59 52,89 43 26,32 55 37,89 44 46,32 54 07,89 45 22,32 55 35,89 45 37,32 55 16,89 45 38,32 53 36,89 45 28,32 48 05,89 44 57,32 41 29,89 40 34,32 36 57,89 39 18,32 34 41,89 37 27,32 33 46,89 36 34,32 33 59,89 35 35,32 35 27,89 34 46,
Missouri,38 42 32,92 25 08,38 38 19,92 27 57,38 36 11,92 25 55,38 33 00,92 18 25,38 33 17,92 16 23,38 32 18,92 09 13,38 29 05,92 04 52,38 30 06,92 07 42,38 29 50,92 02 23,38 31 27,92 01 36,38 28 54,92 04 48,38 27 47,92 05 59,38 26 16,92 09 14,38 25 26,92 11 54,
Montana,46 23 05,111 43 16,46 31 45,111 51 22,46 34 45,111 36 18,46 41 31,110 59 49,46 52 36,110 14 02,46 53 41,110 17 04,46 54 35,110 30 47,46 56 02,110 35 22,46 55 07,110 35 48,46 53 52,110 49 30,46 51 39,110 54 55,46 50 25,111 01 35,46 48 48,111 12 35,46 47 13,111 17 46,
Nebraska,40 57 47 ,97 20 43,41 05 54,97 43 34,41 08 43,97 42 10,41 11 13,97 50 17,41 12 32,97 57 00,41 12 55,98 00 49,41 13 18,97 58 38,41 12 10,97 52 01,41 12 23,97 45 54,41 11 49,97 32 49,41 11 57,97 34 11,41 11 29,97 28 30,41 11 02,97 24 14,41 10 27,97 18 56,
Nevada,39 41 41,117 59 22,39 31 55,118 01 46 ,39 51 36,117 49 23,39 16 48,117 33 18,39 20 41,117 31 23,39 31 50,117 27 24,39 19 52,117 23 02,38 36 39,117 14 18,38 01 07,117 05 37,37 38 16,116 45 08,37 33 10,116 45 24,37 25 14,116 34 24,37 09 57,116 18 17,37 02 37,116 11 30,
New Hampshire,43 26 25,71 35 50,43 26 01,71 35 23,43 26 01,71 34 44,43 21 18,71 32 10,43 21 30,71 32 17,43 20 50,71 34 55,43 20 38,71 34 34,43 20 25,71 32 05,43 14 25,71 28 51,43 11 35,71 28 45,43 10 43,71 28 25,43 09 42,71 27 55,43 09 11,71 27 48,43 09 17,71 27 43,
New Jersey,40 25 48,74 31 01,40 37 19,74 30 14,40 27 54,74 29 37,40 29 24,74 26 20,40 28 19,74 24 34,40 32 18,74 23 30,40 32 18,74 23 44,40 26 29,74 25 53,40 30 10,74 23 18,40 29 45,74 24 04,40 27 50,74 25 02,40 26 25,74 25 46,40 26 18,74 25 41,40 25 55,74 25 56,
New Mexico,35 09 35,106 10 35,34 58 19,106 09 01,34 55 00,106 09 41,34 49 05,105 43 08,34 44 34,105 55 13,34 40 12,105 53 44,34 37 05,105 50 35,34 34 07,105 53 50,34 31 56,106 01 00,34 34 45,106 06 53,34 37 12,106 14 19,34 36 42,106 16 47,34 37 23,106 20 32,34 37 58,106 21 16,
New York,42 00 04,74 54 50,41 54 51,74 51 56,41 48 00,74 45 51,41 39 29,74 51 50,41 36 13,74 50 59,41 31 32,74 46 01,41 29 50,74 43 45,41 30 23,74 44 31,41 30 21,74 43 12,41 30 49,74 43 02,41 32 45,74 43 06,41 32 37,74 41 38,41 30 27,74 38 43,41 30 05,74 37 15,
